,Patent,primary_subclass,Citation,GDate
1907886,4305131,716,3939579,1981-12-08
1907887,4305131,716,3943295,1981-12-08
1907888,4305131,716,3946157,1981-12-08
1907889,4305131,716,3960380,1981-12-08
1907890,4305131,716,3974482,1981-12-08
1907891,4305131,716,3987484,1981-12-08
1907892,4305131,716,4016540,1981-12-08
1907893,4305131,716,4059841,1981-12-08
1907894,4305131,716,4060915,1981-12-08
1907895,4305131,716,4075620,1981-12-08
1907896,4305131,716,4116444,1981-12-08
1907897,4305131,716,4130881,1981-12-08
1907898,4305131,716,4210785,1981-12-08
1944618,4298957,210,3828319,1981-11-03
1944619,4298957,210,3872446,1981-11-03
1944620,4298957,210,3895374,1981-11-03
1944621,4298957,210,3958225,1981-11-03
1944622,4298957,210,4079458,1981-11-03
1944623,4298957,210,4103330,1981-11-03
1944624,4298957,210,4103331,1981-11-03
1944625,4298957,210,4124843,1981-11-03
1944626,4298957,210,4130882,1981-11-03
1944627,4298957,210,4148098,1981-11-03
1989888,4291381,236,3234363,1981-09-22
1989889,4291381,236,3668376,1981-09-22
1989890,4291381,236,3712443,1981-09-22
1989891,4291381,236,3946407,1981-09-22
2115883,4270172,202,3546686,1981-05-26
2115884,4270172,202,3643067,1981-05-26
2115885,4270172,202,3936664,1981-05-26
2115886,4270172,202,4029947,1981-05-26
2115887,4270172,202,4151571,1981-05-26
2176511,4259725,856,3541521,1981-03-31
2176512,4259725,856,3593310,1981-03-31
2176513,4259725,856,3610902,1981-03-31
2176514,4259725,856,3729129,1981-03-31
2176515,4259725,856,3883861,1981-03-31
2176516,4259725,856,4116444,1981-03-31
2176517,4259725,856,4121283,1981-03-31
2176518,4259725,856,4129859,1981-03-31
2229545,4250560,201,3501746,1981-02-10
2229546,4250560,201,3610902,1981-02-10
2229547,4250560,201,3623012,1981-02-10
2229548,4250560,201,3739352,1981-02-10
2229549,4250560,201,3893560,1981-02-10
2244604,4247906,272,3501746,1981-01-27
2244605,4247906,272,3618032,1981-01-27
2244606,4247906,272,3648271,1981-01-27
2244607,4247906,272,3753233,1981-01-27
