,0
1271,5381523
1272,5379375
1273,5379374
1274,5379373
1275,5379372
1276,5590271
1277,5590268
1278,5590267
1279,5590266
1280,5590265
1281,5590264
1282,5590262
1283,5590259
1284,5590258
1285,5590257
1286,5590256
1287,5590252
1288,5588109
1289,5588108
1290,5588107
1291,5588106
1292,5588105
1293,5588104
1294,5588103
1295,5588101
1296,5588099
1297,5586245
1298,5586244
1299,5586243
1300,5586240
1301,5586239
1302,5586235
1303,5586025
1304,5585821
1305,5584035
1306,5583984
1307,5583982
1308,5583981
1309,5583762
1310,5583761
1311,5583539
1312,5583537
1313,5581797
1314,5581752
1315,5581687
1316,5581686
1317,5581685
1318,5581684
1319,5581682
1320,5581681
1321,5581670
1322,5581275
1323,5579472
1324,5579471
1325,5579469
1326,5579468
1327,5579467
1328,5579466
1329,5579465
1330,5577208
1331,5577189
1332,5577188
1333,5577187
1334,5577186
1335,5576955
1336,5574844
1337,5574842
1338,5572656
1339,5572654
1340,5572652
1341,5572651
1342,5572650
1343,5572649
1344,5572648
1345,5572647
1346,5572644
1347,5572423
1348,5572233
1349,5570109
1350,5570108
1351,5570106
1352,5568604
1353,5568603
1354,5568602
1355,5568384
1356,5568164
1357,5566295
1358,5566294
1359,5566293
1360,5566291
1361,5566289
1362,5565888
1363,5565887
1364,5564112
1365,5564007
1366,5564006
1367,5564005
1368,5564004
1369,5564002
1370,5564001
1371,5563999
1372,5563998
1373,5563997
1374,5563996
1375,5561758
1376,5561757
1377,5561756
1378,5561755
1379,5561753
1380,5561444
1381,5560037
1382,5559949
1383,5559948
1384,5559947
1385,5559946
1386,5559945
1387,5559944
1388,5559943
1389,5559942
1390,5559940
1391,5559939
1392,5559532
1393,5557732
1394,5557730
1395,5557729
1396,5557728
1397,5557725
1398,5557723
1399,5557722
1400,5557720
1401,5557298
1402,5555370
1403,5555369
1404,5555368
1405,5555365
1406,5555364
1407,5555363
1408,5555362
1409,5555003
1410,5553289
1411,5553227
1412,5553226
1413,5553225
1414,5553223
1415,5553222
1416,5553221
1417,5553217
1418,5553216
1419,5553215
1420,5552982
1421,5552803
1422,5551049
1423,5550970
1424,5550969
1425,5550968
1426,5550967
1427,5550965
1428,5550741
1429,5548707
1430,5548706
1431,5548705
1432,5548704
1433,5548703
1434,5548702
1435,5548700
1436,5548692
1437,5548509
1438,5548304
1439,5546529
1440,5546528
